,rank,elpd_loo,p_loo_x,elpd_diff,weight,se,dse,warning,scale,loo,loo_se,p_loo_y,waic,waic_se,p_waic
Hierarchical_Model,0,90158.88368225098,57.271114349365234,0.0,1.0,3.5239998453842847,0.0,True,log,90158.88368225098,3.5239998453842847,57.271114349365234,90158.77234090754,3.5283530187895367,57.38245391845703
Flat_Model,1,20959.075937271118,10.172747611999512,69199.80774497986,0.0,93.62377870608219,92.94007852733971,False,log,20959.075937271118,93.62377870608219,10.172747611999512,20959.093468231524,93.62332888892082,10.155216217041016
